NM_000014.6	A2M
NM_000413.4	HSD17B1
NM_000414.4	HSD17B4
NM_000415.3	IAPP
NM_000416.3	IFNGR1
NM_000417.3	IL2RA
NM_000418.4	IL4R
NM_000419.5	ITGA2B
NM_000420.3	KEL
NM_000421.5	KRT10
NM_000422.3	KRT17
NM_000423.3	KRT2
NM_000424.4	KRT5
NM_000426.4	LAMA2
NM_000427.3	LORICRIN
NM_000428.3	LTBP2
NM_000429.3	MAT1A
NM_000430.4	PAFAH1B1
NM_000431.4	MVK
NM_000432.4	MYL2
NM_000433.4	NCF2
NM_000434.4	NEU1
NM_000435.3	NOTCH3
NM_000436.4	OXCT1
NM_000437.4	PAFAH2
NM_000439.5	PCSK1
NM_000440.3	PDE6A
NM_000441.2	SLC26A4
NM_000442.5	PECAM1
NM_000443.4	ABCB4
NM_000444.6	PHEX
NM_000446.7	PON1
NM_000447.3	PSEN2
NM_000448.3	RAG1
NM_000450.2	SELE
NM_000451.4	SHOX
NM_000452.3	SLC10A2
NM_000453.3	SLC5A5
NM_000454.5	SOD1
NM_000455.5	STK11
NM_000457.6	HNF4A
NM_000458.4	HNF1B
NM_000459.5	TEK
NM_000460.4	THPO
NM_000463.3	UGT1A1
NM_000465.4	BARD1
NM_000466.3	PEX1
NM_000474.4	TWIST1
NM_000475.5	NR0B1
NM_000476.3	AK1
NM_000477.7	ALB
NM_000478.6	ALPL
NM_000479.5	AMH
NM_000481.4	AMT
NM_000482.4	APOA4
NM_000483.5	APOC2
NM_000484.4	APP
NM_000485.3	APRT
NM_000486.6	AQP2
NM_000487.6	ARSA
NM_000488.4	SERPINC1
NM_000489.6	ATRX
NM_000490.5	AVP
NM_000492.4	CFTR
NM_000493.4	COL10A1
NM_000494.4	COL17A1
NM_000496.3	CRYBB2
NM_000497.4	CYP11B1
NM_000498.3	CYP11B2
NM_000500.9	CYP21A2
NM_000501.4	ELN
NM_000502.6	EPX
NM_000503.6	EYA1
NM_000504.4	F10
NM_000505.4	F12
NM_000506.5	F2
NM_000507.4	FBP1
NM_000511.6	FUT2
NM_000512.5	GALNS
NM_000513.2	OPN1MW
NM_000514.4	GDNF
NM_000515.5	GH1
NM_000516.7	GNAS
NM_000517.6	HBA2
NM_000518.5	HBB
NM_000519.4	HBD
NM_000520.6	HEXA
NM_000521.4	HEXB
NM_000522.5	HOXA13
NM_000523.4	HOXD13
NM_000524.4	HTR1A
NM_000525.4	KCNJ11
NM_000526.5	KRT14
NM_000527.5	LDLR
NM_000528.4	MAN2B1
NM_000529.2	MC2R
NM_000530.8	MPZ
NM_000531.6	OTC
NM_000532.5	PCCB
NM_000533.5	PLP1
NM_000534.5	PMS1
NM_000535.7	PMS2
NM_000536.4	RAG2
NM_000537.4	REN
NM_000538.4	RFXAP
NM_000539.3	RHO
NM_000540.3	RYR1
NM_000541.5	SAG
NM_000542.5	SFTPB
NM_000543.5	SMPD1
NM_000545.8	HNF1A
NM_000546.6	TP53
NM_000548.5	TSC2
NM_000549.5	TSHB
NM_000550.3	TYRP1
NM_000551.4	VHL
NM_000552.5	VWF
NM_000553.6	WRN
NM_000554.6	CRX
NM_000557.5	GDF5
NM_000558.5	HBA1
NM_000559.3	HBG1
NM_000560.4	CD53
NM_000561.4	GSTM1
NM_000562.3	C8A
NM_000565.4	IL6R
NM_000566.4	FCGR1A
NM_000567.3	CRP
NM_000569.8	FCGR3A
NM_000572.3	IL10
NM_000574.5	CD55
NM_000575.5	IL1A
NM_000576.3	IL1B
NM_000578.4	SLC11A1
NM_000581.4	GPX1
NM_000583.4	GC
NM_000584.4	CXCL8
NM_000585.5	IL15
NM_000586.4	IL2
NM_000587.4	C7
NM_000588.4	IL3
NM_000589.4	IL4
NM_000590.2	IL9
NM_000591.4	CD14
NM_000593.6	TAP1
NM_000594.4	TNF
NM_000595.4	LTA
NM_000596.4	IGFBP1
NM_000597.3	IGFBP2
NM_000598.5	IGFBP3
NM_000599.4	IGFBP5
NM_000600.5	IL6
NM_000601.6	HGF
NM_000602.5	SERPINE1
NM_000603.5	NOS3
NM_000605.4	IFNA2
NM_000606.3	C8G
NM_000607.4	ORM1
NM_000608.4	ORM2
NM_000610.4	CD44
NM_000611.6	CD59
NM_000612.6	IGF2
NM_000613.3	HPX
NM_000614.4	CNTF
NM_000616.5	CD4
NM_000617.3	SLC11A2
NM_000618.5	IGF1
NM_000619.3	IFNG
NM_000620.5	NOS1
NM_000621.5	HTR2A
NM_000624.6	SERPINA5
NM_000625.4	NOS2
NM_000626.4	CD79B
NM_000628.5	IL10RB
NM_000629.3	IFNAR1
NM_000631.5	NCF4
NM_000632.4	ITGAM
NM_000633.3	BCL2
NM_000634.3	CXCR1
NM_000635.4	RFX2
NM_000636.4	SOD2
NM_000637.5	GSR
NM_000638.4	VTN
NM_000639.3	FASLG
NM_000640.3	IL13RA2
NM_000641.4	IL11
NM_000642.3	AGL
NM_000651.6	CR1
NM_000655.5	SELL
NM_000660.7	TGFB1
NM_000661.5	RPL9
NM_000662.8	NAT1
NM_000665.5	ACHE
NM_000666.3	ACY1
NM_000667.4	ADH1A
NM_000668.6	ADH1B
NM_000669.5	ADH1C
NM_000670.5	ADH4
NM_000671.4	ADH5
NM_000673.7	ADH7
NM_000674.3	ADORA1
NM_000675.6	ADORA2A
NM_000676.4	ADORA2B
NM_000677.4	ADORA3
NM_000678.4	ADRA1D
NM_000679.4	ADRA1B
NM_000680.4	ADRA1A
NM_000681.4	ADRA2A
NM_000682.7	ADRA2B
NM_000683.4	ADRA2C
NM_000684.3	ADRB1
NM_000685.5	AGTR1
NM_000686.5	AGTR2
NM_000687.4	AHCY
NM_000688.6	ALAS1
NM_000689.5	ALDH1A1
NM_000690.4	ALDH2
NM_000691.5	ALDH3A1
NM_000692.5	ALDH1B1
NM_000693.4	ALDH1A3
NM_000694.4	ALDH3B1
NM_000696.4	ALDH9A1
NM_000697.3	ALOX12
NM_000698.5	ALOX5
NM_000699.4	AMY2A
NM_000700.3	ANXA1
NM_000701.8	ATP1A1
NM_000702.4	ATP1A2
NM_000704.3	ATP4A
NM_000705.4	ATP4B
NM_000706.5	AVPR1A
NM_000707.5	AVPR1B
NM_000709.4	BCKDHA
NM_000710.4	BDKRB1
NM_000712.4	BLVRA
NM_000713.3	BLVRB
NM_000714.6	TSPO
NM_000715.4	C4BPA
NM_000717.5	CA4
NM_000718.4	CACNA1B
NM_000719.7	CACNA1C
NM_000722.4	CACNA2D1
NM_000723.5	CACNB1
NM_000725.4	CACNB3
NM_000726.5	CACNB4
NM_000727.4	CACNG1
NM_000728.4	CALCB
NM_000729.6	CCK
NM_000730.3	CCKAR
NM_000732.6	CD3D
NM_000733.4	CD3E
NM_000735.4	CGA
NM_000737.5	CGB3
NM_000738.3	CHRM1
NM_000741.5	CHRM4
NM_000742.4	CHRNA2
NM_000743.5	CHRNA3
NM_000744.7	CHRNA4
NM_000745.3	CHRNA5
NM_000746.6	CHRNA7
NM_000747.3	CHRNB1
NM_000748.3	CHRNB2
NM_000749.5	CHRNB3
NM_000750.5	CHRNB4
NM_000751.3	CHRND
NM_000754.4	COMT
NM_000755.5	CRAT
NM_000756.4	CRH
NM_000757.6	CSF1
NM_000758.4	CSF2
NM_000760.4	CSF3R
NM_000761.5	CYP1A2
NM_000762.6	CYP2A6
NM_000764.3	CYP2A7
NM_000765.5	CYP3A7
NM_000766.5	CYP2A13
NM_000767.5	CYP2B6
NM_000769.4	CYP2C19
NM_000770.3	CYP2C8
NM_000771.4	CYP2C9
NM_000772.3	CYP2C18
NM_000773.4	CYP2E1
NM_000774.5	CYP2F1
NM_000775.4	CYP2J2
NM_000777.5	CYP3A5
NM_000778.4	CYP4A11
NM_000780.4	CYP7A1
NM_000781.3	CYP11A1
NM_000782.5	CYP24A1
NM_000783.4	CYP26A1
NM_000784.4	CYP27A1
NM_000785.4	CYP27B1
NM_000786.4	CYP51A1
NM_000787.4	DBH
NM_000788.3	DCK
NM_000789.4	ACE
NM_000791.4	DHFR
NM_000792.7	DIO1
NM_000794.5	DRD1
NM_000795.4	DRD2
NM_000796.6	DRD3
NM_000797.4	DRD4
NM_000798.5	DRD5
NM_000799.4	EPO
NM_000800.5	FGF1
NM_000801.5	FKBP1A
NM_000803.5	FOLR2
NM_000804.4	FOLR3
NM_000805.5	GAST
NM_000807.4	GABRA2
NM_000808.4	GABRA3
NM_000809.4	GABRA4
NM_000810.4	GABRA5
NM_000811.3	GABRA6
NM_000812.4	GABRB1
NM_000814.6	GABRB3
NM_000815.5	GABRD
NM_000817.3	GAD1
NM_000819.5	GART
NM_000820.4	GAS6
NM_000821.7	GGCX
NM_000823.4	GHRHR
NM_000824.5	GLRB
NM_000827.4	GRIA1
NM_000829.4	GRIA4
NM_000831.4	GRIK3
NM_000834.5	GRIN2B
NM_000835.6	GRIN2C
NM_000836.4	GRIN2D
NM_000839.5	GRM2
NM_000840.3	GRM3
NM_000841.4	GRM4
NM_000843.4	GRM6
NM_000844.4	GRM7
NM_000845.3	GRM8
NM_000846.5	GSTA2
NM_000847.5	GSTA3
NM_000848.4	GSTM2
NM_000849.5	GSTM3
NM_000850.5	GSTM4
NM_000851.4	GSTM5
NM_000852.4	GSTP1
NM_000853.3	GSTT1
NM_000854.4	GSTT2
NM_000855.3	GUCY1A2
NM_000857.5	GUCY1B1
NM_000858.7	GUK1
NM_000859.3	HMGCR
NM_000860.6	HPGD
NM_000862.3	HSD3B1
NM_000863.3	HTR1B
NM_000864.5	HTR1D
NM_000865.3	HTR1E
NM_000867.5	HTR2B
NM_000868.4	HTR2C
NM_000869.6	HTR3A
NM_000870.7	HTR4
NM_000871.3	HTR6
NM_000875.5	IGF1R
NM_000876.4	IGF2R
NM_000877.4	IL1R1
NM_000878.5	IL2RB
NM_000879.3	IL5
NM_000880.4	IL7
NM_000882.4	IL12A
NM_000883.4	IMPDH1
NM_000884.3	IMPDH2
NM_000885.6	ITGA4
NM_000887.5	ITGAX
NM_000888.5	ITGB6
NM_000889.3	ITGB7
NM_000890.5	KCNJ5
NM_000891.3	KCNJ2
NM_000892.5	KLKB1
NM_000894.3	LHB
NM_000895.3	LTA4H
NM_000896.3	CYP4F3
NM_000898.5	MAOB
NM_000899.5	KITLG
NM_000900.5	MGP
NM_000901.5	NR3C2
NM_000903.3	NQO1
NM_000904.6	NQO2
NM_000905.4	NPY
NM_000906.4	NPR1
NM_000909.6	NPY1R
NM_000910.4	NPY2R
NM_000911.4	OPRD1
NM_000912.5	OPRK1
NM_000914.5	OPRM1
NM_000915.4	OXT
NM_000916.4	OXTR
NM_000918.4	P4HB
NM_000921.5	PDE3A
NM_000922.4	PDE3B
NM_000924.4	PDE1B
NM_000925.4	PDHB
NM_000926.4	PGR
NM_000928.3	PLA2G1B
NM_000929.3	PLA2G5
NM_000930.5	PLAT
NM_000932.5	PLCB3
NM_000934.4	SERPINF2
NM_000936.4	PNLIP
NM_000938.3	POLR2B
NM_000939.4	POMC
NM_000940.3	PON3
NM_000941.3	POR
NM_000942.5	PPIB
NM_000943.5	PPIC
NM_000944.5	PPP3CA
NM_000945.4	PPP3R1
NM_000946.3	PRIM1
NM_000947.5	PRIM2
NM_000948.6	PRL
NM_000949.7	PRLR
NM_000951.3	PRRG2
NM_000952.5	PTAFR
NM_000953.3	PTGDR
NM_000954.6	PTGDS
NM_000955.3	PTGER1
NM_000956.4	PTGER2
NM_000958.3	PTGER4
NM_000959.4	PTGFR
NM_000960.4	PTGIR
NM_000961.4	PTGIS
NM_000962.4	PTGS1
NM_000963.4	PTGS2
NM_000964.4	RARA
NM_000965.5	RARB
NM_000966.6	RARG
NM_000967.4	RPL3
NM_000968.4	RPL4
NM_000969.5	RPL5
NM_000970.6	RPL6
NM_000971.4	RPL7
NM_000972.3	RPL7A
NM_000975.5	RPL11
NM_000976.4	RPL12
NM_000977.4	RPL13
NM_000978.4	RPL23
NM_000979.4	RPL18
NM_000980.4	RPL18A
NM_000981.4	RPL19
NM_000982.4	RPL21
NM_000983.4	RPL22
NM_000984.6	RPL23A
NM_000986.4	RPL24
NM_000987.5	RPL26
NM_000988.5	RPL27
NM_000989.4	RPL30
NM_000990.5	RPL27A
NM_000991.5	RPL28
NM_000992.3	RPL29
NM_000993.5	RPL31
NM_000994.4	RPL32
NM_000996.4	RPL35A
NM_000997.5	RPL37
NM_000998.5	RPL37A
NM_000999.4	RPL38
NM_001000.4	RPL39
NM_001001317.5	PRSS58
NM_001001325.2	SPINK14
NM_001001330.3	REEP3
NM_001001331.4	ATP2B2
NM_001001343.4	FNDC9
NM_001001344.3	ATP2B3
NM_001001346.3	CLDN20
NM_001001394.4	DNAJB3
NM_001001410.3	TSR3
NM_001001411.3	ZNF676
NM_001001412.4	CALHM1
NM_001001413.3	GOLGA6L1
NM_001001414.2	NCCRP1
NM_001001415.4	ZNF429
NM_001001417.7	TBC1D3B
NM_001001418.6	TBC1D3C
NM_001001433.3	STX16
NM_001001436.4	C16orf87
NM_001001437.4	CCL3L3
NM_001001479.4	SLC35E4
NM_001001480.2	KRTAP5-5
NM_001001520.3	HDGFL2
NM_001001524.3	TM6SF2
NM_001001548.3	CD36
NM_001001551.4	IDNK
NM_001001557.4	GDF6
NM_001001563.5	TIMM50
NM_001001.5	RPL36AL
NM_001001656.3	OR9A4
NM_001001657.1	OR2Y1
NM_001001658.1	OR9A2
NM_001001659.3	OR2A14
NM_001001660.3	ETFRF1
NM_001001661.3	ZNF425
NM_001001662.3	ZNF782
NM_001001664.3	SPOPL
NM_001001667.1	OR6V1
NM_001001668.4	ZNF470
NM_001001669.3	ARHGEF37
NM_001001670.3	SPATA31D1
NM_001001671.4	MAP3K15
NM_001001674.2	OR4F15
NM_001001676.1	LCN9
NM_001001683.4	MED11
NM_001001701.4	C4orf3
NM_001001710.3	FAM166A
NM_001001711.3	DDI1
NM_001001712.3	LCN10
NM_001001722.2	CDY2B
NM_001001786.3	BLID
NM_001001788.4	RAET1G
NM_001001790.3	TOMM5
NM_001001794.4	DENND6B
NM_001001795.2	C8orf82
NM_001001802.3	OR2A42
NM_001001821.1	OR2T34
NM_001001824.2	OR2T27
NM_001001827.2	OR2T35
NM_001001850.3	STX19
NM_001001852.4	PIM3
NM_001001872.4	ARMH4
NM_001001874.3	TPD52L3
NM_001001888.4	VCX3B
NM_001001912.3	OR4E2
NM_001001913.2	OR52N1
NM_001001914.1	OR2G3
NM_001001915.1	OR2G2
NM_001001916.2	OR52J3
NM_001001918.1	OR14C36
NM_001001919.1	OR13C4
NM_001001920.3	OR4C15
NM_001001921.2	OR5AS1
NM_001001923.1	OR5C1
NM_001001936.3	AFAP1L2
NM_001001952.1	OR5D18
NM_001001953.1	OR10G9
NM_001001954.2	OR5A2
NM_001001955.2	OR4C13
NM_001001956.1	OR13C9
NM_001001957.2	OR2W3
NM_001001958.1	OR7G3
NM_001001959.1	OR11L1
NM_001001960.1	OR5W2
NM_001001961.2	OR13C3
NM_001001963.1	OR2L8
NM_001001964.2	OR2T11
NM_001001965.1	OR4D5
NM_001001966.2	OR14A16
NM_001001967.1	OR5D13
NM_001001968.1	OR6S1
NM_001001973.3	ATP5F1C
NM_001001974.4	PLEKHA1
NM_001001976.3	ATE1
NM_001001991.3	PAMR1
NM_001001995.3	GPM6B
NM_001001998.3	EXOSC10
NM_001002002.3	GMPR2
NM_001002010.5	NT5C3A
NM_001002029.4	C4B
NM_001002030.2	ECHDC1
NM_001002034.3	PHETA2
NM_001002035.2	DEFB108B
NM_001002036.4	ASTL
NM_001002248.3	ANAPC11
NM_001002254.1	AWAT2
NM_001002255.2	SUMO4
NM_001002257.3	LCLAT1
NM_001002259.3	CAPRIN2
NM_001002294.3	FMO3
NM_001002295.2	GATA3
NM_001002296.2	GOLGA7
NM_001002.4	RPLP0
NM_001002755.4	NFU1
NM_001002758.1	PRY2
NM_001002759.2	SFR1
NM_001002760.1	BPY2B
NM_001002761.1	BPY2C
NM_001002800.3	SMC4
NM_001002814.3	RAB11FIP1
NM_001002836.4	ZNF787
NM_001002838.4	WNK3
NM_001002847.4	DERPC
NM_001002860.4	BTBD7
NM_001002862.3	DERL3
NM_001002901.3	FCRLB
NM_001002905.2	OR8G1
NM_001002907.1	OR8K1
NM_001002909.4	GPATCH8
NM_001002911.4	GPR139
NM_001002912.5	ERICH3
NM_001002913.3	PTRH1
NM_001002916.5	H2BW1
NM_001002917.2	OR8D1
NM_001002918.1	OR8D2
NM_001002919.3	ALKAL2
NM_001002923.3	IGFL4
NM_001002925.1	OR5AP2
NM_001002926.2	POLR1F
NM_001003.3	RPLP1
NM_001003443.3	OR56A3
NM_001003665.4	STUM
NM_001003681.3	HMGXB4
NM_001003682.4	TMEM200B
NM_001003692.2	ZMAT5
NM_001003693.3	LY6G6F
NM_001003694.2	BRPF1
NM_001003699.4	RREB1
NM_001003702.3	ARHGEF35
NM_001003703.2	ATP5PF
NM_001003722.2	GLE1
NM_001003745.2	OR10A3
NM_001003750.1	OR8I2
NM_001003760.5	KLHL31
NM_001003787.4	STRADA
NM_001003793.3	RBMS3
NM_001003795.3	GTF2IRD2B
NM_001003796.2	SNU13
NM_001003800.2	BICD2
NM_001003801.2	SMARCD3
NM_001003806.2	TARP
NM_001003818.3	TRIM6
NM_001003841.3	SLC6A19
NM_001003845.3	SP5
NM_001003891.3	MED15
NM_001003892.3	DUSP29
NM_001003894.2	CDY1B
NM_001003897.2	MANBAL
NM_001003931.4	PARP3
NM_001003937.3	TSPYL6
NM_001003938.4	HBM
NM_001003940.2	BMF
NM_001004019.2	FBLN2
NM_001004051.4	GPRASP2
NM_001004052.1	OR52B2
NM_001004058.2	OR8K5
NM_001004059.3	OR4S2
NM_001004063.3	OR4K1
NM_001004064.2	OR8J3
NM_001004067.4	NOMO3
NM_001004106.3	GRK6
NM_001004124.2	OR4P4
NM_001004125.3	TUSC1
NM_001004127.3	ALG11
NM_001004134.1	OR10AD1
NM_001004135.2	OR2A12
NM_001004136.2	OR2T2
NM_001004137.1	OR52M1
NM_001004195.2	OR4F4
NM_001004297.3	OR13A1
NM_001004301.4	ZNF813
NM_001004303.5	FYB2
NM_001004304.4	ZNF740
NM_001004308.2	RTL4
NM_001004309.3	ZNF774
NM_001004310.3	FCRL6
NM_001004311.3	FIGLA
NM_001004312.2	RTP2
NM_001004313.3	TMEM220
NM_001004316.3	LEKR1
NM_001004317.4	LIN28B
NM_001004318.3	ACP7
NM_001004319.3	VHLL
NM_001004320.2	AGMO
NM_001004323.3	C7orf61
NM_001004325.2	KRTAP5-2
NM_001004328.3	ZNF705A
NM_001004329.3	DBX2
NM_001004333.5	RNASEK
NM_001004334.4	GPR179
NM_001004339.3	ZYG11A
NM_001004341.2	ETV3L
NM_001004342.5	TRIM67
NM_001004343.3	MAP1LC3C
NM_001004351.5	SPDYE3
NM_001004353.4	STPG3
NM_001004354.3	NRARP
NM_001004356.3	FGFRL1
NM_001004416.3	UMODL1
NM_001004431.3	METRNL
NM_001004432.4	LINGO4
NM_001004434.3	SLC30A2
NM_001004439.2	ITGA11
NM_001004441.3	ANKRD34B
NM_001004450.2	OR1B1
